riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs4970418-A	1E-9	-	0.159	-	"0.0532 unit increase"	[0.036-0.07]	HES4,PERM1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:983237	36653681	"Miyazawa K"
rs3746471-A	2E-11	-	0.4601	-	"0.0391 unit increase"	[0.028-0.05]	KIAA1755	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	20:38213512	36653681	"Miyazawa K"
rs5754508-G	5E-8	-	0.2342	-	"0.0421 unit increase"	[0.027-0.057]	MIR301B,SDF2L1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	22:21644940	36653681	"Miyazawa K"
rs139557-G	4E-7	-	0.6798	-	"0.0316 unit increase"	[0.019-0.044]	MEI1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	22:41793403	36653681	"Miyazawa K"
rs880315-C	4E-16	-	0.4062	-	"0.0496 unit increase"	[0.038-0.062]	CASZ1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:10736809	36653681	"Miyazawa K"
rs7529220-C	2E-15	-	0.799	-	"0.0627 unit increase"	[0.047-0.078]	HSPG2,CELA3B	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:21956126	36653681	"Miyazawa K"
rs2885697-T	1E-10	-	0.655	-	"0.0394 unit decrease"	[0.027-0.051]	SCMH1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:41078607	36653681	"Miyazawa K"
rs12022114-A	5E-8	-	0.0548	-	"0.0808 unit increase"	[0.052-0.11]	EPS15-AS1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:51539068	36653681	"Miyazawa K"
rs11102343-A	1E-20	-	0.2347	-	"0.0779 unit increase"	[0.062-0.094]	KCND3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:111840049	36653681	"Miyazawa K"
rs4073778-A	2E-15	-	0.5279	-	"0.0468 unit increase"	[0.035-0.058]	CASQ2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:115755137	36653681	"Miyazawa K"
rs11240121-T	4E-10	-	0.2581	-	"0.0433 unit increase"	[0.03-0.057]	GJA5	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:147756741	36653681	"Miyazawa K"
rs11264280-T	1E-89	-	0.3208	-	"0.1298 unit increase"	[0.12-0.14]	PMVK,KCNN3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:154890476	36653681	"Miyazawa K"
rs680084-A	2E-63	-	0.5229	-	"0.0978 unit decrease"	[0.086-0.109]	PRRX1,GORAB	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:170659114	36653681	"Miyazawa K"
rs4950913-G	6E-36	-	0.529	-	"0.0742 unit decrease"	[0.063-0.086]	PPFIA4	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:203063025	36653681	"Miyazawa K"
rs4951258-A	2E-9	-	0.4039	-	"0.0353 unit increase"	[0.024-0.047]	NUCKS1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:205722188	36653681	"Miyazawa K"
rs6546620-C	3E-16	-	0.7101	-	"0.0612 unit increase"	[0.046-0.076]	KIF3C	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:25937071	36653681	"Miyazawa K"
rs2694635-T	2E-8	-	0.6218	-	"0.0334 unit increase"	[0.022-0.045]	USP34	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:61449805	36653681	"Miyazawa K"
rs2540949-T	1E-33	-	0.3724	-	"0.0722 unit decrease"	[0.06-0.084]	CEP68	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:65057097	36653681	"Miyazawa K"
rs6747542-C	6E-18	-	0.5	-	"0.0506 unit decrease"	[0.039-0.062]	GMCL1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:69879700	36653681	"Miyazawa K"
rs13387570-C	3E-10	-	0.1787	-	"0.0475 unit decrease"	[0.033-0.062]	KDM3A,U8	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:86356069	36653681	"Miyazawa K"
rs11679718-A	1E-8	-	0.2665	-	"0.0493 unit increase"	[0.032-0.066]	TEX41	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:144924368	36653681	"Miyazawa K"
rs12992231-A	8E-9	-	0.381	-	"0.0345 unit increase"	[0.023-0.046]	MBD5	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:148042141	36653681	"Miyazawa K"
rs7574892-A	2E-19	-	0.4713	-	"0.0529 unit increase"	[0.041-0.064]	WIPF1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:174648092	36653681	"Miyazawa K"
rs3731748-A	1E-29	-	0.2164	-	"0.0853 unit increase"	[0.07-0.1]	TTN-AS1,TTN	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:178548383	36653681	"Miyazawa K"
rs3820888-C	9E-31	-	0.4375	-	"0.0687 unit increase"	[0.057-0.08]	SPATS2L	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:200315300	36653681	"Miyazawa K"
rs76460895-A	7E-10	-	0.0631	-	"0.0767 unit decrease"	[0.052-0.101]	C10orf71-AS1,TMEM273	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:49277389	36653681	"Miyazawa K"
rs1769758-T	8E-10	-	0.5232	-	"0.0398 unit increase"	[0.027-0.053]	ZMIZ1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:79139212	36653681	"Miyazawa K"
rs7126870-T	3E-8	-	0.5122	-	"0.0322 unit decrease"	[0.021-0.044]	STIM1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	11:3868829	36653681	"Miyazawa K"
rs10500790-A	7E-13	-	0.369	-	"0.0432 unit increase"	[0.031-0.055]	SPON1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	11:14014642	36653681	"Miyazawa K"
rs517938-T	3E-8	-	0.6106	-	"0.0341 unit decrease"	[0.022-0.046]	FAM76B,LNCRNA-IUR	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	11:95356718	36653681	"Miyazawa K"
rs10845620-A	5E-8	-	0.1289	-	"0.0497 unit increase"	[0.032-0.068]	APOLD1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:12733093	36653681	"Miyazawa K"
rs2629755-G	2E-11	-	0.2128	-	"0.0511 unit decrease"	[0.036-0.066]	HCFC2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:104098225	36653681	"Miyazawa K"
rs11841562-A	4E-8	-	0.3913	-	"0.0329 unit increase"	[0.021-0.045]	MICU2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	13:21537382	36653681	"Miyazawa K"
rs1886512-A	6E-9	-	0.3393	-	"0.0357 unit increase"	[0.024-0.048]	KLF12	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	13:73946049	36653681	"Miyazawa K"
rs9284324-A	2E-9	-	0.303	-	"0.0383 unit decrease"	[0.026-0.051]	MYH11	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	16:15808858	36653681	"Miyazawa K"
rs8096658-G	3E-9	-	0.4581	-	"0.0372 unit increase"	[0.025-0.05]	NFATC1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	18:79396537	36653681	"Miyazawa K"
rs12360521-G	3E-16	-	0.17	-	"0.0772 unit increase"	[0.059-0.096]	DNAJC12,RNU6-523P	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:67854979	36653681	"Miyazawa K"
rs60212594-C	8E-41	-	0.1474	-	"0.1105 unit decrease"	[0.094-0.127]	SYNPO2L,SYNPO2L-AS1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:73654586	36653681	"Miyazawa K"
rs10458662-G	4E-18	-	0.2601	-	"0.0634 unit increase"	[0.049-0.078]	LRMDA	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:76176912	36653681	"Miyazawa K"
rs74154539-A	9E-77	-	0.1784	-	"0.1426 unit increase"	[0.13-0.16]	NEURL1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:103556539	36653681	"Miyazawa K"
rs10749053-C	7E-10	-	0.8506	-	"0.0554 unit decrease"	[0.038-0.073]	RBM20	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:110816937	36653681	"Miyazawa K"
rs4757877-G	7E-28	-	0.7013	-	"0.0726 unit decrease"	[0.06-0.086]	NAV2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	11:19988745	36653681	"Miyazawa K"
rs7946552-A	6E-10	-	0.7246	-	"0.0405 unit decrease"	[0.028-0.053]	RNU6-256P,SORL1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	11:121783619	36653681	"Miyazawa K"
rs76097649-A	4E-25	-	0.0905	-	"0.1132 unit increase"	[0.092-0.135]	KCNJ5-AS1,KCNJ5	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	11:128894675	36653681	"Miyazawa K"
rs10842383-T	2E-35	-	0.1412	-	"0.1056 unit decrease"	[0.089-0.122]	KNOP1P1,RN7SL38P	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:24619033	36653681	"Miyazawa K"
rs113819537-G	3E-16	-	0.2716	-	"0.0533 unit decrease"	[0.041-0.066]	SSPN	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:26195496	36653681	"Miyazawa K"
rs12809354-C	2E-16	-	0.1384	-	"0.0689 unit increase"	[0.052-0.085]	PKP2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:32825503	36653681	"Miyazawa K"
rs2860482-C	7E-19	-	0.716	-	"0.0581 unit decrease"	[0.045-0.071]	NACA,PTGES3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:56712154	36653681	"Miyazawa K"
rs71454237-A	5E-12	-	0.2032	-	"0.0509 unit decrease"	[0.036-0.065]	BEST3,LRRC10	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:69619635	36653681	"Miyazawa K"
rs1565765-T	4E-13	-	0.4976	-	"0.0434 unit decrease"	[0.032-0.055]	SNORA70,RN7SL734P	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:75845075	36653681	"Miyazawa K"
rs4766552-A	3E-8	-	0.2262	-	"0.0538 unit decrease"	[0.035-0.073]	CUX2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:111193961	36653681	"Miyazawa K"
rs883079-T	8E-60	-	0.6545	-	"0.1029 unit increase"	[0.091-0.115]	TBX5	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:114355435	36653681	"Miyazawa K"
rs897393-T	1E-9	-	0.8414	-	"0.0513 unit decrease"	[0.035-0.068]	CCDC62	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:122827504	36653681	"Miyazawa K"
rs3741508-G	1E-8	-	0.1967	-	"0.0439 unit increase"	[0.029-0.059]	NCOR2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:124328132	36653681	"Miyazawa K"
rs4883571-A	4E-8	-	0.3703	-	"0.0344 unit increase"	[0.022-0.047]	FBRSL1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	12:132515028	36653681	"Miyazawa K"
rs3904323-T	3E-12	-	0.7348	-	"0.0484 unit decrease"	[0.035-0.062]	DDX39AP1,SNORD36	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	13:22794695	36653681	"Miyazawa K"
rs2316443-A	2E-8	-	0.2728	-	"0.0378 unit decrease"	[0.025-0.051]	CUL4A	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	13:113210523	36653681	"Miyazawa K"
rs422068-C	1E-13	-	0.3232	-	"0.0471 unit increase"	[0.035-0.059]	MYH6	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	14:23395595	36653681	"Miyazawa K"
rs11156751-C	3E-30	-	0.3099	-	"0.0747 unit increase"	[0.062-0.087]	AKAP6	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	14:32521231	36653681	"Miyazawa K"
rs73241997-T	1E-17	-	0.146	-	"0.0689 unit increase"	[0.053-0.085]	CFL2,RPL23AP8	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	14:34704569	36653681	"Miyazawa K"
rs2738413-G	2E-40	-	0.5253	-	"0.0778 unit decrease"	[0.066-0.089]	ESR2,SYNE2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	14:64213242	36653681	"Miyazawa K"
rs13019524-C	3E-11	-	0.3297	-	"0.0423 unit decrease"	[0.03-0.055]	ERBB4	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	2:212386779	36653681	"Miyazawa K"
rs7650482-G	5E-35	-	0.5882	-	"0.0753 unit increase"	[0.063-0.087]	CAND2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:12800305	36653681	"Miyazawa K"
rs73032363-G	2E-15	-	0.293	-	"0.0509 unit decrease"	[0.038-0.063]	THRB	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:24431375	36653681	"Miyazawa K"
rs6801957-C	2E-24	-	0.6162	-	"0.0616 unit increase"	[0.05-0.073]	SCN10A	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:38725824	36653681	"Miyazawa K"
rs34080181-A	1E-14	-	0.3559	-	"0.0476 unit decrease"	[0.035-0.06]	LRIG1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:66403767	36653681	"Miyazawa K"
rs17005647-T	9E-11	-	0.4083	-	"0.0394 unit increase"	[0.027-0.051]	FRMD4B	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:69357030	36653681	"Miyazawa K"
rs6771054-C	2E-14	-	0.391	-	"0.047 unit decrease"	[0.035-0.059]	EPHA3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:89440379	36653681	"Miyazawa K"
rs10804493-A	1E-19	-	0.624	-	"0.0547 unit increase"	[0.043-0.066]	PHLDB2,PLCXD2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:111835579	36653681	"Miyazawa K"
rs1278493-A	8E-11	-	0.519	-	"0.0396 unit decrease"	[0.028-0.052]	PPP2R3A	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:136095167	36653681	"Miyazawa K"
rs7612445-T	9E-13	-	0.1819	-	"0.0538 unit increase"	[0.039-0.069]	MTHFD2P7,RPL29P34	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:179455191	36653681	"Miyazawa K"
rs60902112-T	7E-13	-	0.2962	-	"0.0484 unit increase"	[0.035-0.062]	XXYLT1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	3:195080124	36653681	"Miyazawa K"
rs12640611-C	1E-9	-	0.6662	-	"0.0378 unit increase"	[0.026-0.05]	WDR1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	4:10102854	36653681	"Miyazawa K"
rs11099098-T	4E-15	-	0.3168	-	"0.0488 unit increase"	[0.037-0.061]	FGF5,PRDM8	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	4:80248758	36653681	"Miyazawa K"
rs223449-T	3E-10	-	0.4822	-	"0.0362 unit increase"	[0.025-0.048]	MANBA,UBE2D3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	4:102791180	36653681	"Miyazawa K"
rs17042175-A	4E-714	-	0.2094	-	"0.4544 unit increase"	[0.44-0.47]	LINC01438	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	4:110789811	36653681	"Miyazawa K"
rs55754224-T	4E-15	-	0.2518	-	"0.0542 unit increase"	[0.041-0.068]	CAMK2D	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	4:113507558	36653681	"Miyazawa K"
rs10213171-G	6E-18	-	0.0704	-	"0.0957 unit increase"	[0.074-0.117]	ARHGAP10	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	4:148016386	36653681	"Miyazawa K"
rs4282143-A	2E-20	-	0.9096	-	"0.1858 unit decrease"	[0.15-0.23]	HAND2-AS1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	4:173551270	36653681	"Miyazawa K"
rs6596717-A	1E-9	-	0.6271	-	"0.0367 unit decrease"	[0.025-0.048]	PSMC1P5,LINC01950	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	5:107091908	36653681	"Miyazawa K"
rs337708-G	6E-24	-	0.3581	-	"0.0616 unit increase"	[0.05-0.074]	KCNN2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	5:114410483	36653681	"Miyazawa K"
rs2012809-G	1E-11	-	0.8026	-	"0.0565 unit increase"	[0.04-0.073]	SLC27A6	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	5:128854670	36653681	"Miyazawa K"
rs529526-C	7E-34	-	0.3158	-	"0.0755 unit increase"	[0.063-0.088]	WNT8A,NME5	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	5:138107797	36653681	"Miyazawa K"
rs6580277-G	2E-19	-	0.2305	-	"0.0667 unit increase"	[0.052-0.081]	RNU7-156P,NR3C1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	5:143438558	36653681	"Miyazawa K"
rs77328981-T	4E-12	-	0.0609	-	"0.0858 unit increase"	[0.061-0.11]	SLIT3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	5:168966222	36653681	"Miyazawa K"
rs6891790-T	3E-26	-	0.346	-	"0.0697 unit decrease"	[0.057-0.083]	Y_RNA,NKX2-5	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	5:173243742	36653681	"Miyazawa K"
rs9370893-T	2E-14	-	0.2944	-	"0.049 unit decrease"	[0.036-0.062]	ATXN1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:16418331	36653681	"Miyazawa K"
rs34969716-A	6E-25	-	0.3142	-	"0.0691 unit increase"	[0.056-0.082]	KDM1B	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:18209878	36653681	"Miyazawa K"
rs12214804-T	5E-10	-	0.8852	-	"0.0628 unit decrease"	[0.043-0.083]	HMGA1,CYCSP55	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:34221089	36653681	"Miyazawa K"
rs3176326-A	7E-20	-	0.1877	-	"0.0701 unit decrease"	[0.055-0.085]	CDKN1A	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:36679512	36653681	"Miyazawa K"
rs7757330-G	1E-13	-	0.387	-	"0.044 unit decrease"	[0.032-0.056]	ZNF292	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:87176617	36653681	"Miyazawa K"
rs9481842-G	7E-22	-	0.2472	-	"0.0661 unit increase"	[0.053-0.08]	CEP85L	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:118653635	36653681	"Miyazawa K"
rs72966339-T	5E-27	-	0.3496	-	"0.0657 unit decrease"	[0.054-0.078]	HMGB3P18,RNU1-18P	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:122077095	36653681	"Miyazawa K"
rs6902225-G	6E-11	-	0.2293	-	"0.0454 unit increase"	[0.032-0.059]	MTCYBP4,LINC00326	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:133111184	36653681	"Miyazawa K"
rs78811127-A	7E-17	-	0.1451	-	"0.0734 unit increase"	[0.056-0.091]	UST,TAB2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:149092383	36653681	"Miyazawa K"
rs6461461-A	6E-10	-	0.3891	-	"0.0372 unit increase"	[0.025-0.049]	SUN1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	7:855648	36653681	"Miyazawa K"
rs12154315-T	3E-15	-	0.2597	-	"0.0529 unit increase"	[0.04-0.066]	DGKB	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	7:14334089	36653681	"Miyazawa K"
rs9639575-A	4E-10	-	0.7321	-	"0.0451 unit increase"	[0.031-0.059]	CREB5	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	7:28377595	36653681	"Miyazawa K"
rs42044-G	8E-10	-	0.2553	-	"0.0417 unit decrease"	[0.028-0.055]	CDK6	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	7:92620826	36653681	"Miyazawa K"
rs1997571-A	1E-73	-	0.5943	-	"0.1068 unit increase"	[0.095-0.118]	CAV1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	7:116558567	36653681	"Miyazawa K"
rs3778872-G	5E-14	-	0.1961	-	"0.0563 unit decrease"	[0.042-0.071]	KCNH2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	7:150972888	36653681	"Miyazawa K"
rs6996342-T	1E-8	-	0.401	-	"0.038 unit increase"	[0.025-0.051]	OR7E161P,OR7E158P	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	8:11927032	36653681	"Miyazawa K"
rs399485-T	2E-21	-	0.6376	-	"0.061 unit increase"	[0.048-0.074]	ASAH1,PCM1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	8:18055243	36653681	"Miyazawa K"
rs6998692-C	2E-16	-	0.1152	-	"0.0751 unit decrease"	[0.057-0.093]	XPO7	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	8:21947754	36653681	"Miyazawa K"
rs58847541-A	2E-15	-	0.1446	-	"0.0647 unit increase"	[0.049-0.081]	KLHL38,RN7SKP155	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	8:123597926	36653681	"Miyazawa K"
rs6994744-C	1E-12	-	0.5312	-	"0.0416 unit increase"	[0.03-0.053]	PTK2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	8:140730769	36653681	"Miyazawa K"
rs4977397-G	4E-8	-	0.4349	-	"0.0341 unit decrease"	[0.022-0.046]	SLC24A2,MLLT3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	9:20235006	36653681	"Miyazawa K"
rs10821415-A	1E-33	-	0.3893	-	"0.0716 unit increase"	[0.06-0.083]	AOPEP	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	9:94951177	36653681	"Miyazawa K"
rs2274115-G	6E-11	-	0.6699	-	"0.0425 unit increase"	[0.03-0.055]	LHX3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	9:136202927	36653681	"Miyazawa K"
rs7910227-A	6E-6	-	0.1728	-	"0.0527 unit increase"	[0.03-0.075]	NEBL	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:20953453	36653681	"Miyazawa K"
rs12245149-A	8E-17	-	0.4546	-	"0.049 unit decrease"	[0.037-0.061]	REEP3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:63561387	36653681	"Miyazawa K"
rs11881441-C	2E-9	-	0.6808	-	"0.0381 unit increase"	[0.026-0.051]	BICRA	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	19:47639489	36653681	"Miyazawa K"
rs9782984-C	5E-9	-	0.8222	-	"0.0585 unit decrease"	[0.039-0.078]	SPEN	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:15872556	36653681	"Miyazawa K"
rs75414548-A	2E-8	-	0.0725	-	"0.072 unit increase"	[0.047-0.097]	RRAGC-DT,RHBDL2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:38920042	36653681	"Miyazawa K"
rs1933723-A	3E-8	-	0.6786	-	"0.0349 unit increase"	[0.023-0.047]	PALMD	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	1:99683752	36653681	"Miyazawa K"
rs12512502-C	2E-8	-	0.6147	-	"0.0339 unit decrease"	[0.022-0.046]	MOB1B	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	4:70911218	36653681	"Miyazawa K"
rs6841049-G	1E-9	-	0.5397	-	"0.0359 unit decrease"	[0.024-0.047]	LIN54	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	4:82989559	36653681	"Miyazawa K"
rs17118812-C	2E-10	-	0.3028	-	"0.0401 unit increase"	[0.028-0.052]	HBEGF,PFDN1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	5:140323701	36653681	"Miyazawa K"
rs7766436-T	3E-8	-	0.2697	-	"0.0357 unit increase"	[0.023-0.048]	CASC15	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:22598030	36653681	"Miyazawa K"
rs12209223-A	4E-13	-	0.1164	-	"0.0665 unit increase"	[0.048-0.085]	FILIP1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:75454873	36653681	"Miyazawa K"
rs4896104-T	5E-10	-	0.5909	-	"0.038 unit decrease"	[0.026-0.05]	LINC03002,MEMO1P2	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	6:134797951	36653681	"Miyazawa K"
rs2727757-G	7E-9	-	0.3257	-	"0.0372 unit increase"	[0.025-0.05]	CDHR3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	7:105972290	36653681	"Miyazawa K"
rs17430357-T	4E-8	-	0.1869	-	"0.0411 unit increase"	[0.026-0.056]	EXT1	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	8:117851173	36653681	"Miyazawa K"
rs17303101-A	2E-8	-	0.2729	-	"0.0378 unit increase"	[0.024-0.051]	ASTN2,PAPPA	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	9:116419515	36653681	"Miyazawa K"
rs11527634-T	1E-9	-	0.1639	-	"0.0524 unit decrease"	[0.036-0.069]	CCDC7	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	10:32483806	36653681	"Miyazawa K"
rs2110552-C	4E-15	-	0.3927	-	"0.0478 unit decrease"	[0.036-0.06]	DPF3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	14:72888423	36653681	"Miyazawa K"
rs10873298-T	9E-12	-	0.6388	-	"0.041 unit decrease"	[0.029-0.053]	LINC01629,LINC02289	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	14:76960182	36653681	"Miyazawa K"
rs2415081-C	3E-8	-	0.1804	-	"0.0461 unit decrease"	[0.03-0.062]	RNU6-745P,TLE3	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	15:70171653	36653681	"Miyazawa K"
rs7172038-G	3E-39	-	0.1612	-	"0.107 unit increase"	[0.091-0.123]	REC114,HCN4	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	15:73374914	36653681	"Miyazawa K"
rs12908004-G	1E-23	-	0.1606	-	"0.0811 unit increase"	[0.065-0.097]	ARNT2-DT	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	15:80384583	36653681	"Miyazawa K"
rs4965430-G	3E-13	-	0.5925	-	"0.0435 unit decrease"	[0.032-0.055]	IGF1R	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	15:98725621	36653681	"Miyazawa K"
rs3809666-G	4E-8	-	0.3002	-	"0.0375 unit increase"	[0.024-0.051]	METRN,FBXL16	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	16:714753	36653681	"Miyazawa K"
rs2815301-C	1E-14	-	0.7736	-	"0.0579 unit increase"	[0.043-0.073]	RPL3L	"Atrial fibrillation"	"atrial fibrillation"	-	GCST90204201	16:1954717	36653681	"Miyazawa K"
